binom,m.elong,larval.elong,adult.size,larval.size,m.elong.sd,adult.size.sd,larval.elong.sd,larval.size.sd,m.elong.n
Aeshna_constricta,1.885358661,1.792854642,69,37.5,0.08676014,2,0.028252192,0.75,4
Aeshna_juncea,1.819924108,1.826912813,65,38.25,0.02012226,2,0.023847618,1.375,3
Aeshna_umbrosa,1.880004853,1.836463278,68.5,38.5,0.08442511,2.25,0.027860132,1.75,4
Anax_junius,1.789078356,1.715485409,73,43.35,0.08380272,2.5,0.056674147,3.425,10
Anax_longipes,1.789597444,1.665489916,81,54.665,0.12572649,3,0.020919035,2.3325,3
Brachymesia_gravida,1.842674311,1.621883123,52,23.75,0.06769002,1,0.046346162,0.625,5
Celithemis_elisa,1.774887149,1.672300337,31.5,15.25,0.12704062,1.25,0.053648394,0.875,6
Celithemis_eponina,1.873288256,1.517992165,39,18.15,0.11264012,0.75,0.03130874,0.575,7
Cordulegaster_dorsalis,1.905338758,1.703715747,77.5,36.8,0.10359233,0.5,0.052660578,3.1,3
Cordulegaster_maculata,1.847354918,1.687052858,70,36.25,0.01299012,1,0.048910773,2.375,5
Cordulegaster_obliqua,1.997251563,1.658484985,76.5,38.6,0.1199645,1.25,0.079018443,4.6,5
Dromogomphus_spinosus,2.251578918,1.658329371,60.5,31.45,0.14659483,0.75,0.033150749,1.925,4
Dythemis_fugax,1.96966256,1.535919863,47,17.1,0.0891636,2,0.02243536,0.7,3
Epitheca_princeps,1.805937804,1.290474614,64.59090909,24.3,0.08679618,0.75,0.044073991,1.65,5
Erythemis_collocata,1.709370591,1.529799418,41,15.9,0.12392805,0.75,0.020376308,0.55,3
Erythemis_simplicicollis,1.739727477,1.462424006,41,15.1,0.03311588,1,0.050326359,0.95,6
Erythrodiplax_umbrata,1.771488092,1.676312004,41.5,15.35,0.05542935,3,0.027732484,0.475,3
Hagenius_brevistylus,2.149949797,1.208341687,81.5,38.35,0.17289226,2,0.020622923,1.825,5
Ladona_deplanata,1.559087923,1.72719887,36,19,0.03377866,1.25,0.072522575,1.5,5
Leucorrhinia_hudsonica,1.912008776,1.544272853,29.5,14.5,0.08719058,0.75,0.045420819,0.9,3
Libellula_auripennis,1.64449267,1.582794781,54.5,22.75,0.09033109,0.5,0.037539046,1.125,3
Libellula_comanche,1.703830878,1.617223496,51,22.2,0.09755826,1.25,0.032655322,0.9,4
Libellula_croceipennis,1.543641045,1.521256093,56,23.65,0.05754386,2.25,0.017413874,0.825,3
Libellula_flavida,1.706739679,1.631168745,49.5,21.45,0.0645802,2.5,0.042511074,0.875,6
Libellula_forensis,1.683668483,1.534618921,50,24.55,0.12496217,1.5,0.01901145,0.525,4
Libellula_incesta,1.676521911,1.519568391,51,21.8,0.05298422,1.5,0.033610967,0.7,5
Libellula_luctuosa,1.634062611,1.583242311,46,20.8,0.04959249,0.75,0.033945896,0.6,5
Libellula_needhami,1.660010893,1.579384274,54.5,22.35,0.02847091,1.75,0.017050646,0.425,5
Libellula_pulchella,1.617906601,1.555071338,54.5,22.95,0.1202439,1,0.039831192,0.775,10
Libellula_quadrimaculata,1.624572746,1.540453126,44,21.15,0.06165107,0.5,0.038032281,1.225,4
Libellula_semifasciata,1.597808984,1.605339851,46.5,21.7,0.05671705,0.5,0.027436828,0.5,4
Libellula_vibrans,1.690535346,1.478743282,59.5,24.3,0.04466483,0.75,0.029985625,0.8,5
Macromia_illinoiensis,2.135872946,1.369302879,70.5,27,0.09894235,1.5,0.049568158,2,5
Macromia_taeniolata,1.970206066,1.317627505,83,33.75,0.21629533,0.5,0.039626075,2.125,4
Orthemis_ferruginea,1.652622887,1.536931117,50.5,21.9,0.16907736,1.25,0.021371495,0.75,7
Pachydiplax_longipennis,1.700426192,1.536980038,36.5,17.55,0.07551305,1.25,0.048296414,1.075,9
Pantala_flavescens,1.865033798,1.534203325,48.5,23.6,0.40287665,1,0.043429048,1.2,7
Perithemis_tenera,1.561722255,1.547164524,22.5,13.2,0.07624171,2.25,0.044466257,0.6,6
Plathemis_lydia,1.497890872,1.575663445,45,20.5,0.03925702,2,0.040097209,1.25,8
Progomphus_obscurus,2.265527197,1.911779177,50,27.4,0.16083716,1,0.080397927,2.3,5
Pseudoleon_superbus,1.796886062,1.476436425,41.5,16.4,0.02680652,3,0.051134936,0.8,3
Rhionaeschna_multicolor,1.862327234,1.724642311,67,36.1,0.09810881,1.25,0.045558966,2.05,7
Sympetrum_corruptum,1.816878056,1.541545662,40.5,17.7,0.22430681,4,0.064527537,1.4,7
Sympetrum_costiferum,1.959611078,1.547178381,34,16.2,0.06402597,1,0.049952917,0.9,3
Sympetrum_danae,1.901014792,1.640592932,31.5,14.25,0.14796874,1,0.079366819,1.025,3
Sympetrum_vicinum,2.042390584,1.624435687,33,13,0.13889051,1.25,0.084981415,1,6
Tachopteryx_thoreyi,2.037603546,1.501579371,75.7,31.5,0.12812297,0.5,0.01806275,0.75,6
Tramea_lacerata,1.837259881,1.395256344,53,23.3,0.07626608,2.75,0.02703278,1.35,8